Dish Name,Ingredients (Tagalog),Instructions,Image Name,Cooking Time
Adobong Manok,"Manok, bawang, sibuyas, toyo, suka, laurel, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika hanggang magkulay ginto. Idagdag ang manok at lutuin hanggang mag-brown. Ihalo ang toyo, suka, laurel, paminta, at asin. Lutuin hanggang lumambot ang manok at magsabaw.",adobong_manok.jpg,1 oras
Adobong Baboy,"Baboy, bawang, sibuyas, toyo, suka, laurel, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Haluin ang toyo, suka, laurel, paminta, at asin. Lutuin hanggang lumambot at magsabaw.",adobong_baboy.jpg,1.5 oras
Sinigang na Baboy,"Baboy, sampalok, sibuyas, kamatis, labanos, kangkong, sili, paminta, asin, tubig","Pakuluan ang baboy sa tubig hanggang lumambot. Idagdag ang sibuyas at kamatis, lutuin hanggang lumambot ang sibuyas. Idagdag ang sampalok, labanos, kangkong, sili, paminta, at asin. Lutuin hanggang sa maging maasim at malasa.",sinigang_na_baboy.jpg,1.5 oras
Kare-Kare,"Baka, bagoong, peanut butter, sitaw, talong, kalabasa, sibuyas, bawang, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baka at lutuin hanggang mag-brown. Haluin ang peanut butter, lutuin hanggang sa magsabaw. Idagdag ang sitaw, talong, kalabasa, paminta, asin, at bagoong. Lutuin hanggang maluto.",kare-kare.jpg,2 oras
Lechon Kawali,"Baboy (pata), bawang, paminta, asin, tubig, mantika","Pakuluan ang baboy sa tubig kasama ang bawang, paminta, at asin hanggang lumambot. Hayaang matuyo at i-prito sa mainit na mantika hanggang maging crispy.",lechon_kawali.jpg,1.5 oras
Lumpiang Shanghai,"Ground pork, bawang, sibuyas, carrots, singkamas, itlog, lumpia wrapper, asin, paminta, mantika","Igisa ang bawang at sibuyas, idagdag ang ground pork, lutuin hanggang mag-brown. Idagdag ang carrots at singkamas, lutuin hanggang maluto. Haluin ang itlog at asin, paminta. Balutin sa lumpia wrapper at i-prito sa mainit na mantika.",lumpiang_shanghai.jpg,30 minuto
Pancit Canton,"Pancit canton noodles, baboy, hipon, carrots, repolyo, sibuyas, bawang, toyo, asin, paminta, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots at repolyo, lutuin hanggang maluto. Idagdag ang pancit canton, toyo, asin, at paminta. Haluin hanggang maghalo at luto.",pancit_canton.jpg,30 minuto
Pancit Bihon,"Pancit bihon noodles, baboy, hipon, carrots, repolyo, sibuyas, bawang, toyo, asin, paminta, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots at repolyo, lutuin hanggang maluto. Idagdag ang pancit bihon, toyo, asin, at paminta. Haluin hanggang maghalo at luto.",pancit_bihon.jpg,30 minuto
Ginataang Baka,"Baka, gata ng niyog, sibuyas, bawang, luya, talong, sitaw, paminta, asin, mantika","Igisa ang bawang, sibuyas, at luya sa mantika. Idagdag ang baka, lutuin hanggang mag-brown. Idagdag ang gata ng niyog, lutuin hanggang magsabaw. Idagdag ang talong, sitaw, paminta, at asin. Lutuin hanggang lumambot ang baka.",ginataang_baka.jpg,1.5 oras
Ginataang Manok,"Manok, gata ng niyog, sibuyas, bawang, luya, sitaw, talong, paminta, asin, mantika","Igisa ang bawang, sibuyas, at luya sa mantika. Idagdag ang manok, lutuin hanggang mag-brown. Idagdag ang gata ng niyog, lutuin hanggang magsabaw. Idagdag ang sitaw, talong, paminta, at asin. Lutuin hanggang maluto ang manok.",ginataang_manok.jpg,1 oras
